/home/sdn/Desktop/2/application/nfv/www.click:37: While initializing 'fr_ext :: FromDevice':
  warning: s7-eth1: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/www.click:39: While initializing 'fr_int :: FromDevice':
  warning: s7-eth2: no IPv4 address assigned
www_c_ip_in1:   84 | 45000054 317e4000 400140f3 6400000b 6400002d 0800cd62
www_ci_2:   98 | 924af404 75540000 00000002 08004500 005431ba 40004001
www_c_ip_in1:   84 | 45000054 31ba4000 400140b7 6400000b 6400002d 0800c704
www_ci_2:   98 | 924af404 75540000 00000002 08004500 005431c8 40004001
www_c_ip_in1:   84 | 45000054 31c84000 400140a9 6400000b 6400002d 0800f7fa
www_ci_2:   98 | 924af404 75540000 00000002 08004500 005431f5 40004001
www_c_ip_in1:   84 | 45000054 31f54000 4001407c 6400000b 6400002d 080078c5
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00543290 40004001
www_c_ip_in1:   84 | 45000054 32904000 40013fe1 6400000b 6400002d 0800aa66
www_ci_2:   98 | 924af404 75540000 00000002 08004500 005432f9 40004001
www_c_ip_in1:   84 | 45000054 32f94000 40013f78 6400000b 6400002d 08006e4a
www_ci_2:   98 | 924af404 75540000 00000002 08004500 0054336a 40004001
www_c_ip_in1:   84 | 45000054 336a4000 40013f07 6400000b 6400002d 0800bd42
www_ci_2:   98 | 924af404 75540000 00000002 08004500 005433d8 40004001
www_c_ip_in1:   84 | 45000054 33d84000 40013e99 6400000b 6400002d 0800ea3a
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00543411 40004001
www_c_ip_in1:   84 | 45000054 34114000 40013e60 6400000b 6400002d 08000927
www_ci_2:   98 | 924af404 75540000 00000002 08004500 005434a3 40004001
www_c_ip_in1:   84 | 45000054 34a34000 40013dce 6400000b 6400002d 08007bba
www_ci_2:   98 | 924af404 75540000 00000002 08004500 0054353e 40004001
www_c_ip_in1:   84 | 45000054 353e4000 40013d33 6400000b 6400002d 08002e68
www_ce_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
www_ce_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
www_ce_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00543613 40004001
www_c_ip_in1:   84 | 45000054 36134000 40013c5e 6400000b 6400002d 0800f20a
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00543638 40004001
www_c_ip_in1:   84 | 45000054 36384000 40013c39 6400000b 6400002d 080042ad
www_ci_3:  107 | 33330000 00fb82ec 4beb8eec 86dd600e 3a4c0035 11fffe80
www_ce_3:  107 | 33330000 00fb0e81 633a73e2 86dd6008 c1470035 11fffe80
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
